fecha_toma_muestra,pruebas_totales,positivos_totales,pruebas_totales_cdmx,positivos_totales_cdmx,tasa_positividad,tasa_positividad_cdmx
2021-06-16,6725,735,5923,667,0.10929368029739776,0.11261185210197536
2021-06-17,6987,738,6134,662,0.1056247316444826,0.10792305184219107
2021-06-18,6420,650,5684,591,0.10124610591900311,0.10397607318789585
2021-06-19,2169,339,1915,308,0.15629322268326418,0.1608355091383812
2021-06-20,2052,208,1832,189,0.10136452241715399,0.10316593886462883
2021-06-21,6679,955,6038,884,0.1429854768677946,0.14640609473335542
2021-06-22,8153,1088,7129,1001,0.13344781062185698,0.14041240005610886
2021-06-23,8114,1141,7119,1043,0.1406211486319941,0.14650934119960668
2021-06-24,8690,1274,7521,1162,0.14660529344073647,0.15450073128573327
2021-06-25,7775,1120,6920,1037,0.1440514469453376,0.14985549132947976
2021-06-26,2980,497,2634,452,0.16677852348993288,0.1716021260440395
2021-06-27,2281,382,2035,336,0.16747040771591407,0.1651105651105651
2021-06-28,9027,1465,7911,1308,0.16229090506259,0.1653394008342814
2021-06-29,9087,1538,7991,1411,0.1692527786948388,0.1765736453510199
2021-06-30,8385,1335,7307,1222,0.1592128801431127,0.16723689612700152
2021-07-01,8096,1505,7210,1377,0.18589426877470355,0.19098474341192787
2021-07-02,8459,1621,7578,1505,0.19163021633762856,0.19860121404064396
2021-07-03,3170,707,2813,615,0.22302839116719242,0.2186277995023107
2021-07-04,2452,441,2208,397,0.17985318107667211,0.17980072463768115
2021-07-05,10545,2216,9578,2053,0.21014698909435753,0.21434537481728963
